review_status,id,age_group,theme,sub_topic,kor_words,eng_words,lyrics,youtube_title,youtube_description,youtube_tags
Updated,1,1-2,신체,내 얼굴,눈;코;입,Eye;Nose;Mouth,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Eye]
(Singer's voice is very clear, friendly, and encouraging)
Ready for the first word?
(첫 번째 단어 준비됐나요?)

Eye. Eye.
눈. 눈. (nun. nun.)
... (short musical pause)

Let's sing it again!
(다시 한번 불러봐요!)

Eye. Eye.
눈. 눈. (nun. nun.)

Wow! Great job!
(와! 정말 잘했어요!)

[Verse 2: Nose]
(The happy melody continues)
Ready for the next word?
(다음 단어 준비됐나요?)

Nose. Nose.
코. 코. (ko. ko.)
... (short musical pause)

Let's sing it again!
(다시 한번 불러봐요!)

Nose. Nose.
코. 코. (ko. ko.)

Wow! You're a star!
(와! 정말 최고야!)

[Verse 3: Mouth]
(The melody is still bright and encouraging)
Ready for the last word?
(마지막 단어 준비됐나요?)

Mouth. Mouth.
입. 입. (ip. ip.)
... (short musical pause)

Let's sing it again!
(다시 한번 불러봐요!)

Mouth. Mouth.
입. 입. (ip. ip.)

Perfect! You learned them all!
(완벽해요! 모두 배웠네요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[1-2세 동요] 내 얼굴 (눈, 코, 입)","얼굴에 있는 '눈', '코', '입'을 배워봐요! 신나는 노래로 우리 몸을 알아가요.","얼굴,눈,코,입,신체 노래,신체 동요"
Updated,2,3-4,색깔,기본 색깔,빨간색;노란색;파란색,Red;Yellow;Blue,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Red]
(Singer's voice is very clear, friendly, and encouraging)
What color is this?
(이건 무슨 색일까요?)

Red. Red.
빨간색. 빨간색.
... (short musical pause)

Let's sing it again!
(다시 한번 불러봐요!)

Red. Red.
빨간색. 빨간색.

Beautiful color!
(예쁜 색깔!)

[Verse 2: Yellow]
(The happy melody continues)
Ready for the next color?
(다음 색깔 준비됐나요?)

Yellow. Yellow.
노란색. 노란색.
... (short musical pause)

Let's sing it again!
(다시 한번 불러봐요!)

Yellow. Yellow.
노란색. 노란색.

Such a bright color!
(밝은 색깔!)

[Verse 3: Blue]
(The melody is still bright and encouraging)
And what about this one?
(이건 어때요?)

Blue. Blue.
파란색. 파란색.
... (short musical pause)

Let's sing it again!
(다시 한번 불러봐요!)

Blue. Blue.
파란색. 파란색.

Perfect! You learned all the colors!
(완벽해요! 모든 색을 배웠네요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[3-4세 동요] 기본 색깔 (빨강, 노랑, 파랑)","빨간색', '노란색', '파란색'을 배워봐요! 예쁜 색깔 노래를 함께 불러요.",#어린이동요 #색깔노래
Updated,3,5-6,장소,우리 동네,학교;공원;병원;가게,School;Park;Hospital;Store,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: School]
(Singer's voice is very clear, friendly, and encouraging)
Where do we go to study?
(어디로 공부하러 갈까요?)

School. School.
학교. 학교.
... (short musical pause)

Let's say it again!
(다시 말해봐요!)

School. School.
학교. 학교.

That's right!
(맞아요!)

[Verse 2: Park]
(The happy melody continues)
Where do we go to play?
(어디로 놀러 갈까요?)

Park. Park.
공원. 공원.
... (short musical pause)

Let's say it again!
(다시 말해봐요!)

Park. Park.
공원. 공원.

So much fun!
(정말 재미있어요!)

[Verse 3: Hospital]
(The melody is still bright and encouraging)
Where do we go when we're sick?
(아프면 어디로 갈까요?)

Hospital. Hospital.
병원. 병원.
... (short musical pause)

Let's say it again!
(다시 말해봐요!)

Hospital. Hospital.
병원. 병원.

Don't be scared!
(무서워하지 말아요!)

[Verse 4: Store]
(The melody is getting exciting)
Where do we go to buy things?
(물건 사러 어디로 갈까요?)

Store. Store.
가게. 가게.
... (short musical pause)

Let's say it again!
(다시 말해봐요!)

Store. Store.
가게. 가게.

Let's go shopping!
(쇼핑하러 가요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[5-6세 동요] 우리 동네 (학교, 공원)","우리 동네에 있는 '학교', '공원', '병원', '가게'를 배워봐요!",#장소노래 #생활동요
Updated,4,7-8,과학,태양계 행성 1,수성;금성;지구;화성;목성,Mercury;Venus;Earth;Mars;Jupiter,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Mercury]
(Singer's voice is clear, with a sense of wonder)
The first planet from the sun!
(태양에서 가장 가까운 행성!)

Mercury. Mercury.
수성. 수성.
... (short musical pause)

[Verse 2: Venus]
(The melody continues, a bit brighter)
The second planet, shining bright!
(두 번째 행성, 밝게 빛나요!)

Venus. Venus.
금성. 금성.
... (short musical pause)

[Verse 3: Earth]
(The melody feels warm and familiar)
The planet where we live!
(우리가 사는 바로 그 행성!)

Earth. Earth.
지구. 지구.
... (short musical pause)

[Verse 4: Mars]
(The melody is a bit mysterious)
The red planet, next in line!
(붉은 행성, 바로 다음!)

Mars. Mars.
화성. 화성.
... (short musical pause)

[Verse 5: Jupiter]
(The melody becomes grand and epic)
The biggest planet of them all!
(모든 행성 중에 가장 커요!)

Jupiter. Jupiter.
목성. 목성.

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[7-8세 동요] 태양계 행성 1,태양계 행성 이름을 배워봐요! 신비로운 우주로 떠나요!,#과학동요 #우주노래
Updated,5,1-2,가족,우리 가족,엄마;아빠;아기,Mom;Dad;Baby,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Mom]
(Singer's voice is very clear, friendly, and encouraging)
Who loves me so much?
(누가 나를 가장 사랑할까요?)

Mom. Mom.
엄마. 엄마.
... (short musical pause)

Let's sing for Mom!
(엄마를 위해 노래해요!)

Mom. Mom.
엄마. 엄마.

I love you, Mom!
(사랑해요, 엄마!)

[Verse 2: Dad]
(The happy melody continues)
Who is strong and cool?
(누가 가장 힘세고 멋질까요?)

Dad. Dad.
아빠. 아빠.
... (short musical pause)

Let's sing for Dad!
(아빠를 위해 노래해요!)

Dad. Dad.
아빠. 아빠.

I love you, Dad!
(사랑해요, 아빠!)

[Verse 3: Baby]
(The melody is still bright and encouraging)
Who is cute and lovely?
(누가 가장 귀엽고 사랑스러울까요?)

Baby. Baby.
아기. 아기.
... (short musical pause)

Let's sing for the baby!
(아기를 위해 노래해요!)

Baby. Baby.
아기. 아기.

We are a happy family!
(우리는 행복한 가족!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[1-2세 영어 동요] 우리 가족 (엄마, 아빠, 아기)","엄마', '아빠', '아기'를 배워봐요! 사랑하는 우리 가족 노래!",#가족노래 #유아동요
Updated,6,3-4,자연,날씨,해;비;바람;눈,Sun;Rain;Wind;Snow,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Sun]
(Bright and happy music)
The sun is shining!
(해가 반짝!)

Sun. Sun.
해. 해.
... (short musical pause)

[Verse 2: Rain]
(Gentle, pitter-patter music)
The rain is falling!
(비가 내려요!)

Rain. Rain.
비. 비.
... (short musical pause)

[Verse 3: Wind]
(Whooshing sound effect)
The wind is blowing!
(바람이 불어요!)

Wind. Wind.
바람. 바람.
... (short musical pause)

[Verse 4: Snow]
(Quiet, magical music)
The snow is coming down!
(눈이 내려요!)

Snow. Snow.
눈. 눈.

Look at the weather!
(날씨를 보세요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[3-4세 영어 동요] 날씨 (해, 비, 바람, 눈)","해', '비', '바람', '눈' 날씨에 대해 배워봐요! 날씨에 따라 세상이 변해요.",#날씨노래 #자연동요
Updated,7,5-6,일상,하루 일과,일어나요;먹어요;놀아요;자요,Wake up;Eat;Play;Sleep,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Wake up]
(The melody is gentle, like morning)
In the morning, we...
(아침에는...)

Wake up. Wake up.
일어나요. 일어나요.
... (short musical pause)

[Verse 2: Eat]
(The melody is cheerful)
Then we...
(그리고 우리는...)

Eat. Eat.
먹어요. 먹어요.
... (short musical pause)

[Verse 3: Play]
(The melody is very playful)
After that, we...
(그 다음엔...)

Play. Play.
놀아요. 놀아요.
... (short musical pause)

[Verse 4: Sleep]
(The melody is a soft lullaby)
At night, we...
(밤에는...)

Sleep. Sleep.
자요. 자요.

Good night!
(잘 자요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[5-6세 영어 동요] 하루 일과 (일어나요, 먹어요, 놀아요, 자요)","일어나고', '먹고', '놀고', '자는' 하루 일과를 배워봐요. 규칙적인 생활 습관!",#생활습관 #습관동요
Updated,8,7-8,신체,우리의 몸,머리;어깨;무릎;발,Head;Shoulders;Knees;Toes,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Head]
(Upbeat and energetic music)
Touch your...
(너의 ...를 만져봐!)

Head. Head.
머리. 머리.
... (short musical pause)

[Verse 2: Shoulders]
(The music continues)
Now touch your...
(이제 너의 ...를 만져봐!)

Shoulders. Shoulders.
어깨. 어깨.
... (short musical pause)

[Verse 3: Knees]
(Getting faster!)
And now your...
(그리고 이제 너의...)

Knees. Knees.
무릎. 무릎.
... (short musical pause)

[Verse 4: Toes]
(Fast and fun!)
And finally your...
(마지막으로 너의...)

Toes. Toes.
발. 발.

Let's do it all together now!
(이제 다 같이 해봐요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[7-8세 영어 동요] 우리의 몸 (머리, 어깨, 무릎, 발)","신나는 율동과 함께 '머리', '어깨', '무릎', '발'을 배워봐요!",#율동동요 #신체동요
Updated,9,1-2,탈것,도로 위 탈것,자동차;버스;오토바이,Car;Bus;Motorcycle,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: Car]
(Sound of a car engine 'vroom')
What goes vroom vroom?
(부릉부릉 소리 나는 건?)

Car. Car.
자동차. 자동차.
... (short musical pause)

[Verse 2: Bus]
(Sound of a bus 'beep beep')
What goes beep beep?
(빵빵 소리 나는 건?)

Bus. Bus.
버스. 버스.
... (short musical pause)

[Verse 3: Motorcycle]
(Sound of a motorcycle engine)
What goes zoom zoom?
(쌩쌩 소리 나는 건?)

Motorcycle. Motorcycle.
오토바이. 오토바이.

So many cars on the road!
(길 위에 차가 많아요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)","[1-2세 영어 동요] 도로 위 탈것 (자동차, 버스)","자동차', '버스', '오토바이'를 배워봐요! 여러 가지 탈것 소리!",#탈것노래 #자동차동요
Updated,10,3-4,숫자,숫자 1부터 5,하나;둘;셋;넷;다섯,One;Two;Three;Four;Five,"[Intro]
(Music: Bright, happy, and slow acoustic pop, perfect for kids)

Hello, hello, hello!
Let’s sing together!

[Verse 1: One, Two, Three]
(Rhythmic and clear)
Let's count together!
(다 같이 숫자를 세어봐요!)

One, Two, Three.
하나, 둘, 셋.
... (short musical pause)

Let's count again!
(다시 세어봐요!)

One, Two, Three.
하나, 둘, 셋.

[Verse 2: Four, Five]
(The melody continues)
What comes next?
(다음은 뭘까요?)

Four, Five.
넷, 다섯.
... (short musical pause)

Let's count again!
(다시 세어봐요!)

Four, Five.
넷, 다섯.

You can count to five!
(다섯까지 셀 수 있네요!)

[Outro]
(Music slows down slightly, preparing to end)
Bye bye bye!
See you again!

(Music fades out with a happy final chord)",[3-4세 영어 동요] 숫자 세기 (1-5),하나'부터 '다섯'까지 숫자를 세어봐요! 재미있는 숫자 놀이!,#숫자노래 #숫자세기
